name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Larping Soccer Moms,962753997,1624509,2252715,3017483,12,12,0,3017483,641483,3,1,false,false,0,192525,false,true,1611232,0,0,4,4,4,
Zhil Axfow,826592934,3066907,3839544,6717787,7,15,0,6717787,3841787,4,1,false,true,0,130950,true,true,-2243,0,0,3,4,4,4
JustinAlexander11,283842274,2641866,4182964,7059362,1,15,0,7059362,4183362,4,1,false,true,0,13641,true,true,-398,0,0,3,4,4,4
KaStarkiller,222784581,2044933,2602622,5478622,0,15,0,5478622,2602622,4,1,false,true,0,0,true,true,0,0,0,3,4,4,4
Tommyboy85,929389526,2952537,4120308,7288308,6,16,0,7288308,4120308,4,1,false,true,0,143727,true,true,0,0,0,4,4,4,4
Philo Beddoe,753225541,2820574,3855391,7023457,20,16,0,7023457,3855457,4,1,false,true,0,255074,true,true,-66,0,0,4,4,4,4
Loadage,268951863,2894063,3987252,3987252,4,0,0,3987252,3987252,0,1,false,true,0,90800,false,false,0,0,0,,,,
BabyYodaHitta,629856937,1389057,2118913,4203420,6,11,0,4203420,2119420,3,1,false,true,0,83739,false,true,-507,0,0,3,4,4,
ilekkund,214848174,3326100,4763919,158667,1,0,0,158667,158667,0,1,false,false,0,27460,false,false,4605252,0,0,,,,
ilekkund2,148163689,2416353,3244249,6413299,11,16,0,6413299,3245299,4,1,false,true,0,74462,true,true,-1050,0,0,4,4,4,4
Higgs,265535499,2520273,3517716,6101740,2,14,0,6101740,3517740,4,1,false,true,0,31123,true,true,-24,0,0,3,3,4,4
MINI xipokemastrix,242144976,2059813,2891788,6060596,11,16,0,6060596,2892596,4,1,false,true,0,155703,true,true,-808,0,0,4,4,4,4
Flywire,515621617,2532036,3644782,94315,4,0,0,94315,94315,0,0,false,false,0,94315,false,false,3550467,0,0,,,,
TacoPizza,797491243,2447601,3552681,6774417,8,16,0,6774417,3606417,4,1,false,true,0,114463,true,true,-53736,0,0,4,4,4,4
ShootMeow,118543169,3044991,4250481,7145205,9,15,0,7145205,4269205,4,1,false,true,0,140791,true,true,-18724,0,0,3,4,4,4
Dark Penguin,894569678,2006037,2708117,5308607,0,13,0,5308607,2745107,4,1,false,true,0,0,true,true,-36990,0,0,1,4,4,4
Calens,499477827,2760134,4035116,6915174,13,15,0,6915174,4039174,4,1,false,true,0,166770,true,true,-4058,0,0,3,4,4,4
joker,976597667,2341590,3437873,237829,5,0,0,237829,237829,0,1,false,false,0,92437,false,false,3200044,0,0,,,,
Obi Won Sebroni,247341668,2004854,2850276,5443958,0,14,0,5443958,2859958,4,1,false,true,0,0,true,true,-9682,0,0,3,3,4,4
Gryphix,997239157,3048635,4333712,7503056,0,16,0,7503056,4335056,4,1,false,true,0,0,true,true,-1344,0,0,4,4,4,4
Wolfman314,144353549,2941631,3972375,2570527,0,11,0,2570527,486527,3,1,false,false,0,0,false,true,3485848,0,0,3,4,4,
AKB,461667365,2700780,3971334,7139964,3,16,0,7139964,3971964,4,1,false,true,0,66988,true,true,-630,0,0,4,4,4,4
Zlada14,825875376,2739999,3834068,6712518,0,15,0,6712518,3836518,4,1,false,true,0,0,true,true,-2450,0,0,3,4,4,4
Bitz Maidenhell,589218854,2608605,3927782,217384,6,0,0,217384,217384,0,1,false,false,0,101166,false,false,3710398,0,0,,,,
Agave,148199846,2902818,3972672,623834,20,0,0,623834,623834,0,1,false,false,0,329039,false,false,3348838,0,0,,,,
ONE,873729113,2831517,4106455,6415699,3,13,0,6415699,4123699,4,1,false,true,0,44740,true,true,-17244,0,0,3,3,3,4
Stargun inoza,992275427,2769408,3849833,6725833,2,15,0,6725833,3849833,4,1,false,true,0,44538,true,true,0,0,0,3,4,4,4
OttoVonGens,994659641,3266044,4672927,7967533,20,16,0,7967533,4799533,4,1,false,true,0,394962,true,true,-126606,0,0,4,4,4,4
Argarax,545871634,2488597,3995544,7168872,0,16,0,7168872,4000872,4,1,false,true,0,0,true,true,-5328,0,0,4,4,4,4
Chaunce,492994246,3050492,4137114,135438,1,0,0,135438,135438,0,1,false,false,0,22137,false,false,4001676,0,0,,,,
PluntsNBussy,837163221,3234672,4279318,7155341,0,15,0,7155341,4279341,4,1,false,true,0,0,true,true,-23,0,0,3,4,4,4
Sultan2309,938542548,2068150,3393933,3033206,5,12,0,3033206,657206,3,1,false,false,0,95124,false,true,2736727,0,0,4,4,4,
Wil043,635417488,2275385,3689534,6273558,0,14,0,6273558,3689558,4,1,false,true,0,0,true,true,-24,0,0,3,3,4,4
Promethean,245711569,2628153,3555555,5639555,0,11,0,5639555,3555555,3,1,false,true,0,0,false,true,0,0,0,3,4,4,
Guntha Arbos,248271439,2822425,4214311,7090349,0,15,0,7090349,4214349,4,1,false,true,0,0,true,true,-38,0,0,3,4,4,4
SloppySaberFlavor,671337993,2745202,3930796,6807216,0,15,0,6807216,3931216,4,1,false,true,0,0,true,true,-420,0,0,3,4,4,4
MarkKenoburger,513125742,2051412,3153296,3785831,0,16,0,3785831,617831,4,1,false,false,0,0,true,true,2535465,0,0,4,4,4,4
Nom,884121445,3113939,4346427,7514427,0,16,0,7514427,4346427,4,1,false,true,0,0,true,true,0,0,0,4,4,4,4
EvilCoyote2011,997394645,2735197,3946432,7114609,0,16,0,7114609,3946609,4,1,false,true,0,0,true,true,-177,0,0,4,4,4,4
M1TTH,124849497,2311342,3216506,6092506,0,15,0,6092506,3216506,4,1,false,true,0,0,true,true,0,0,0,3,4,4,4
Theflavorgreen,416984533,2457311,3787213,6163213,0,12,0,6163213,3787213,3,1,false,true,0,0,false,true,0,0,0,4,4,4,
Masajj Vemtits,596537312,2743869,3793378,123743,0,0,0,123743,123743,0,1,false,false,0,0,false,false,3669635,0,0,,,,
JacenCaedus,634487631,3253668,4373750,130279,0,0,0,130279,130279,0,1,false,false,0,0,false,false,4243471,0,0,,,,
Maxaron Lexilon,591283737,3113946,3982864,115745,0,0,0,115745,115745,0,1,false,false,0,0,false,false,3867119,0,0,,,,
TWill88,494485598,2825475,3806216,116429,0,0,0,116429,116429,0,1,false,false,0,0,false,false,3689787,0,0,,,,
wamakima5004,556569861,2988312,3922948,103557,0,0,0,103557,103557,0,1,false,false,0,0,false,false,3819391,0,0,,,,
MINI Stewabob,552522334,1897708,2639003,123411,0,0,0,123411,123411,0,1,false,false,0,0,false,false,2515592,0,0,,,,
MINI Zeratoark,552854579,2907900,4085390,127475,0,0,0,127475,127475,0,1,false,false,0,0,false,false,3957915,0,0,,,,